mandates_id,name,fraction,in_fraction_since,parliament_period,created,created_year,data_change_date,job_label,job_category,job_organisation,job_topic,interval,income_level,income
53449,Fritz Güntzler,CDU/CSU,,Bundestag 2021 - 2025,1750174491,2025,2025-06-17,Übernahme von Reisekosten,29232,Internationales Steuerseminar Schweiz (IStS),Macroeconomy,,2,4411.51
53647,Stefan Schmidt,BÜNDNIS 90/DIE GRÜNEN,,Bundestag 2021 - 2025,1749628691,2025,2025-06-11,Mitglied des Zukunftsrates (ab November 2024),29230,Verband der Sparda-Banken e.V.,Macroeconomy,,1,2000.0
54131,Carsten Linnemann,CDU/CSU,,Bundestag 2021 - 2025,1748854863,2025,2025-06-02,Generalsekretär,29647,Christlich Demokratische Union Deutschlands,Government Operations,1,3,11227.2
54027,Johannes Vogel,FDP,,Bundestag 2021 - 2025,1744095785,2025,2025-04-08,Übernahme Reisekosten,29232,Global Public Policy Institute,International Affairs,,3,10955.0
53525,Rasha Nasr,SPD,,Bundestag 2021 - 2025,1744095631,2025,2025-04-08,Übernahme von Reisekosten,29232,Robert Bosch Stiftung GmbH,Culture,,3,8314.0
53913,Stephan Mayer,CDU/CSU,,Bundestag 2021 - 2025,1744095113,2025,2025-04-08,Übernahme der Reisekosten,29232,ELNET Deutschland e.V.,Culture,,2,4701.81
53791,Gesine Lötzsch,DIE LINKE,02.02.2024,Bundestag 2021 - 2025,1744094929,2025,2025-04-08,Übernahme von Reisekosten,29232,ELNET Deutschland e.V.,Culture,,2,4370.04
53641,Anton Hofreiter,BÜNDNIS 90/DIE GRÜNEN,,Bundestag 2021 - 2025,1744094740,2025,2025-04-08,Übernahme der Reisekosten,29232,ELNET Deutschland e.V.,Culture,,2,4295.06
53506,Marcus Faber,FDP,,Bundestag 2021 - 2025,1744094083,2025,2025-04-08,Übernahme der Reisekosten,29232,Global Public Policy Institute,International Affairs,,3,10356.0
53696,Sebastian Schäfer,BÜNDNIS 90/DIE GRÜNEN,,Bundestag 2021 - 2025,1744093878,2025,2025-04-08,Übernahme Reisekosten,29232,ELNET Deutschland e.V.,Culture,,2,4335.15
53970,Annette Widmann-Mauz,CDU/CSU,,Bundestag 2021 - 2025,1744030613,2025,2025-04-07,Übernahme Reisekosten,29232,Robert Bosch Stiftung GmbH,Culture,,3,9955.0
54135,Kassem Taher Saleh,BÜNDNIS 90/DIE GRÜNEN,,Bundestag 2021 - 2025,1744030401,2025,2025-04-07,Übernahme Reisekosten,29232,Robert Bosch Stiftung GmbH,Culture,,3,9189.62
53484,Thomas Röwekamp,CDU/CSU,,Bundestag 2021 - 2025,1744029510,2025,2025-04-07,Übernahme Reisekosten,29232,Konrad-Adenauer-Stiftung e.V.,Government Operations,,2,6673.57
53530,Frank Müller-Rosentritt,FDP,,Bundestag 2021 - 2025,1744029047,2025,2025-04-07,Übernahme von Reisekosten,29232,Außenministerium von Taiwan,International Affairs,,2,6084.49
53457,Konstantin Kuhle,FDP,,Bundestag 2021 - 2025,1744028910,2025,2025-04-07,Übernahme von Reisekosten,29232,Global Public Policy Institute,International Affairs,,3,11068.0
54059,Metin Hakverdi,SPD,,Bundestag 2021 - 2025,1744028758,2025,2025-04-07,Übernahme der Reisekosten,29232,Friedrich-Ebert-Stiftung e.V. (FES),International Affairs,,3,9450.01
53685,Agnieszka Brugger,BÜNDNIS 90/DIE GRÜNEN,,Bundestag 2021 - 2025,1744028482,2025,2025-04-07,Übernahme der Reisekosten,29232,Global Public Policy Institute,International Affairs,,3,11887.0
53700,Michael Georg Link,FDP,,Bundestag 2021 - 2025,1738320874,2025,2025-01-31,Mitglied der Versammlung der Kuratoren,29230,Institut für Europäische Politik e.V. (IEP),International Affairs,,,
53436,Sahra Wagenknecht,BSW,02.02.2024,Bundestag 2021 - 2025,1737629791,2025,2025-01-23,Beisitzerin des Vorstandes (04.10.2023 bis 12.12.2024),29233,BSW - Für Vernunft und Gerechtigkeit e.V,Government Operations,,,
53825,Matthias Hauer,CDU/CSU,,Bundestag 2021 - 2025,1736412678,2025,2025-01-09,Mitglied des Aufsichtsrates,29228,Stadtwerke Essen AG,Energy,,1,2500.0
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736249127,2025,2025-01-07,Rechtsanwalt - Mandant 35282 - Privatbereich,29647,Komning Rechtsanwälte,Law and Order,,1,2002.41
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736249058,2025,2025-01-07,Rechtsanwalt - Mandant 2240 - Marketingbereich,29647,Komning Rechtsanwälte,Law and Order,,2,3998.4
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248999,2025,2025-01-07,Rechtsanwalt - Mandant 2251 - Privatbereich,29647,Komning Rechtsanwälte,Law and Order,,1,1305.43
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248943,2025,2025-01-07,Rechtsanwalt - Mandant 2188 - Privatbereich,29647,Komning Rechtsanwälte,Law and Order,,1,1062.61
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248873,2025,2025-01-07,Rechtsanwalt - Mandant 35193,29647,Komning Rechtsanwälte,Law and Order,,2,3880.36
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248807,2025,2025-01-07,Rechtsanwalt - Mandant 35003 - Baugewerbe,29647,Komning Rechtsanwälte,Law and Order,,1,1185.0
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248664,2025,2025-01-07,Rechtsanwalt - Mandant 34596 - Privatbereich,29647,Komning Rechtsanwälte,Law and Order,,1,1501.19
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248460,2025,2025-01-07,Rechtsanwalt - Mandant 1527 - Privatbereich,29647,Komning Rechtsanwälte,Law and Order,,1,1436.91
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248346,2025,2025-01-07,Rechtsanwalt - Mandant 33094,29647,Komning Rechtsanwälte,Law and Order,,1,1608.99
53984,Enrico Komning,AfD,,Bundestag 2021 - 2025,1736248278,2025,2025-01-07,Rechtsanwalt - Mandant 1989 - Privatbereich,29647,Komning Rechtsanwälte,Law and Order,,1,1088.38
